indi_pt,count
Nocturia,2383
Hypoxia,2382
Intervertebral discitis,2381
Pelvic pain,2376
Hip arthroplasty,2373
Haemostasis,2365
Venoocclusive liver disease,2362
Hair growth abnormal,2352
Syncope,2337
Psychiatric symptom,2335
Skin lesion,2333
Cryopyrin associated periodic syndrome,2328
Urinary tract disorder,2328
Cataract,2324
Immune tolerance induction,2322
Diabetes insipidus,2316
Shock,2315
Mixed connective tissue disease,2311
Haematuria,2311
Congestive cardiomyopathy,2306
Peritonitis,2296
Ocular hypertension,2290
Angina unstable,2283
Polycystic ovarian syndrome,2281
Cytomegalovirus viraemia,2280
Tobacco user,2277
Pulmonary sarcoidosis,2271
Premenstrual syndrome,2271
Myocarditis,2270
Drug withdrawal syndrome,2266
Ulcerative keratitis,2263
Lipids abnormal,2259
Graft versus host disease in skin,2258
Pancreatitis,2254
Prophylaxis against diarrhoea,2250
Laxative supportive care,2243
New onset refractory status epilepticus,2241
Blood iron decreased,2222
Tuberous sclerosis complex,2208
Prophylactic chemotherapy,2204
Brain abscess,2203
Vomiting in pregnancy,2188
Body height below normal,2187
Heart rate abnormal,2187
Drug hypersensitivity,2185
Dyspareunia,2178
Muscular dystrophy,2173
Autism,2163
Erysipelas,2158
Kidney transplant rejection,2149
Hyperparathyroidism,2146
Localised infection,2143
Vitiligo,2140
Hormone level abnormal,2137
Hepatic function abnormal,2137
Pneumothorax,2135
Platelet count decreased,2132
Therapeutic procedure,2131
Dwarfism,2130
Hyperemesis gravidarum,2130
Angiogram,2128
Lichen planus,2125
Reflux gastritis,2118
Cardiac stress test,2113
Gastrointestinal motility disorder,2110
Palliative care,2108
White blood cell count decreased,2108
Maternal therapy to enhance foetal lung maturity,2107
Neuromuscular blockade reversal,2107
Cardiac failure acute,2096
Left ventricular failure,2084
Hypertensive heart disease,2076
Postoperative wound infection,2075
Pre-eclampsia,2075
Diabetic nephropathy,2074
Night sweats,2073
Spinal cord injury,2073
Essential tremor,2071
Computerised tomogram abdomen,2067
Hepatoblastoma,2056
Brain oedema,2049
Epidural anaesthesia,2037
Infertility female,2034
Substance use,2030
Dysphonia,2029
Lipids increased,2028
Vascular device infection,2024
Disturbance in attention,2024
Cystoid macular oedema,2017
Upper-airway cough syndrome,2012
Medical observation,2008
Neutrophil count decreased,2004
Lumbar spinal stenosis,2002
Infertility,2002
Turner's syndrome,2001
Bone density decreased,1995
Pancytopenia,1995
Skin test,1990
Staphylococcal sepsis,1984
Glomerulonephritis,1979
Thalassaemia,1979
Partial seizures with secondary generalisation,1972
Blood phosphorus increased,1968
Weight increased,1960
Prader-Willi syndrome,1956
Seborrhoeic dermatitis,1955
Blood glucose,1949
Cardiac arrest,1946
Hereditary angioedema with C1 esterase inhibitor deficiency,1946
Spinal column stenosis,1943
Encephalopathy,1941
Hypophosphataemia,1939
Dry mouth,1938
Venous thrombosis,1936
Wound infection,1936
Ventricular extrasystoles,1934
Epileptic encephalopathy,1925
Muscular weakness,1922
Helicobacter gastritis,1919
Haemoglobin decreased,1915
Autoinflammatory disease,1906
Diabetes mellitus inadequate control,1906
Respiratory syncytial virus infection,1904
Post procedural hypothyroidism,1898
Infective pulmonary exacerbation of cystic fibrosis,1897
Thalassaemia beta,1897
Blood triglycerides abnormal,1891
Polychondritis,1881
Hernia,1881
Tuberculin test,1879
Drug withdrawal maintenance therapy,1875
K-ras gene mutation,1860
Perinatal depression,1855
Migraine with aura,1851
Graves' disease,1850
Sinus tachycardia,1847
Scleritis,1840
Immunomodulatory therapy,1835
Poor quality sleep,1834
Tendonitis,1819
Thrombolysis,1814
General physical health deterioration,1812
Convulsion prophylaxis,1807
Obstructive sleep apnoea syndrome,1806
Stiff person syndrome,1804
Patent ductus arteriosus,1801
Combined immunodeficiency,1790
Hypertonia,1787
Transfusion,1782
Musculoskeletal chest pain,1781
Neurosarcoidosis,1781
Spinal operation,1780
Coronary artery bypass,1777
Schizoaffective disorder depressive type,1776
Salivary hypersecretion,1774
Morning sickness,1772
Calcium deficiency,1770
Device therapy,1769
Blood triglycerides,1766
Cord blood transplant therapy,1762
Gastrointestinal disorder therapy,1752
Electrolyte imbalance,1751
Pancreas transplant,1748
Pulmonary oedema,1731
Right ventricular failure,1730
Spinal compression fracture,1729
Joint injury,1728
Aortic valve replacement,1724
Febrile infection-related epilepsy syndrome,1722
Rash pruritic,1717
Hepatitis C virus test positive,1715
Dyshidrotic eczema,1714
Myopathy,1709
Post procedural infection,1703
Polyarteritis nodosa,1697
Colony stimulating factor therapy,1694
Flushing,1689
Immunoglobulin G4 related disease,1682
Neurogenic bladder,1681
Low density lipoprotein abnormal,1678
